,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
6240,40612032,1718194,Annex,43.66958,-79.39325,Entire home/apt,139.0,28,10,2023-09-26,0.21,4,0,1,4.3
6241,40618836,33771128,Waterfront Communities-The Island,43.65213,-79.35429,Entire home/apt,258.0,28,6,2020-03-15,0.13,1,180,0,4.67
6242,40621046,311190141,Woburn,43.75308,-79.20806,Private room,32.0,28,4,2020-01-12,0.08,2,0,0,4.5
6243,40621494,311190141,Woburn,43.75303,-79.20747,Private room,28.0,28,3,2020-01-12,0.06,2,0,0,5.0
6244,40635279,314842578,Woodbine Corridor,43.68113,-79.32242,Entire home/apt,120.0,1,148,2024-01-06,2.99,1,21,47,4.81
6245,40642067,260079173,Trinity-Bellwoods,43.65027,-79.41387,Entire home/apt,299.0,28,2,2022-08-13,0.05,6,69,0,4.85
6246,40651493,145242773,York University Heights,43.76325,-79.49439,Private room,44.0,30,10,2023-06-30,0.22,5,98,1,5.0
6247,40660061,315415897,Bay Street Corridor,43.65172,-79.38295,Entire home/apt,99.0,28,121,2023-11-30,2.47,1,68,8,4.76
6248,40661110,25239718,East End-Danforth,43.67538,-79.30636,Entire home/apt,60.0,30,31,2023-12-13,0.63,1,35,5,5.0
6249,40661699,75617328,Annex,43.66919,-79.3934,Entire home/apt,164.0,28,103,2022-11-18,2.08,2,89,0,4.67
6250,40673484,106137182,Mount Pleasant East,43.69608,-79.3925,Entire home/apt,99.0,182,9,2020-02-10,0.18,1,90,0,4.78
6251,40681682,33994504,Waterfront Communities-The Island,43.64223,-79.39977,Entire home/apt,120.0,28,2,2020-03-04,0.04,1,0,0,4.85
6252,40683425,224268660,Islington-City Centre West,43.63895,-79.54896,Private room,80.0,28,34,2022-06-19,0.69,5,341,0,4.26
6253,40705490,315884148,Islington-City Centre West,43.64066,-79.52906,Entire home/apt,179.0,28,21,2023-11-18,0.43,1,96,2,4.81
6254,40705633,315937194,Dovercourt-Wallace Emerson-Junction,43.6672,-79.4447,Entire home/apt,120.0,28,6,2020-07-10,0.12,1,0,0,4.67
6255,40708086,142861399,Mimico (includes Humber Bay Shores),43.62487,-79.48757,Entire home/apt,329.0,30,14,2023-08-15,0.29,2,180,1,4.57
6256,40708563,145417410,Dovercourt-Wallace Emerson-Junction,43.66219,-79.44414,Entire home/apt,110.0,2,66,2023-12-06,1.33,1,64,6,4.82
6257,40708794,85735894,Waterfront Communities-The Island,43.63947,-79.39629,Entire home/apt,120.0,28,27,2020-10-13,0.54,2,0,0,4.67
6258,40711050,246616094,Niagara,43.63581,-79.40461,Entire home/apt,328.0,28,22,2021-05-16,0.44,3,89,0,4.86
