,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
16608,942142313592896892,Rental unit in Toronto · 1 bedroom · 2 beds · 1 bath,503048599,High Park North,43.65635,-79.45256,Entire home/apt,96.0,28,0,,0.625,2,172,0,4.85
16609,942142896144908599,Rental unit in Toronto · 1 bedroom · 2 beds · 1 bath,515852323,Corso Italia-Davenport,43.67877057303783,-79.44708018,Entire home/apt,74.0,28,0,,0.625,2,123,0,4.85
16610,942204421646617257,Home in Toronto · ★4.89 · 1 bedroom · 1 bed · 1 bath,211903146,Wychwood,43.67948,-79.43135,Entire home/apt,99.0,1,19,2023-12-10,3.75,1,11,19,4.89
16611,942221298659316895,Home in Toronto · 1 bedroom · 1 bed · 1 bath,16351200,The Beaches,43.67051559999999,-79.3070976,Entire home/apt,80.0,28,2,2023-10-29,0.52,1,217,2,4.85
16612,942237741778978591,Condo in Toronto · ★4.79 · 2 bedrooms · 2 beds · 2 baths,390670658,Church-Yonge Corridor,43.65473490000001,-79.3791198,Entire home/apt,132.0,1,41,2023-12-28,7.45,1,0,41,4.79
16613,942243348733569612,Home in Toronto · 4 bedrooms · 4 beds · 3.5 baths,35171117,Willowdale East,43.76142,-79.40959,Entire home/apt,700.0,28,0,,0.625,6,269,0,3.5
16614,942251427114237733,Home in Toronto · ★4.71 · 1 bedroom · 1 bed · 1 private bath,93252572,Glenfield-Jane Heights,43.75703304325245,-79.51104132,Private room,72.0,1,7,2023-09-28,1.35,3,173,7,4.71
16615,942262982104473978,Home in Toronto · ★4.71 · 1 bedroom · 1 bed · 1 bath,526330177,Dovercourt-Wallace Emerson-Junction,43.66485,-79.43897,Private room,55.0,1,17,2023-12-03,3.21,2,90,17,4.71
16616,942284383538247894,Rental unit in Toronto · ★4.89 · 2 bedrooms · 3 beds · 2 baths,527518073,Waterfront Communities-The Island,43.64514,-79.39026,Entire home/apt,600.0,28,18,2023-11-26,3.58,2,90,18,4.89
16617,942290422678460376,Rental unit in Toronto · ★4.79 · Studio · 1 bed · 1 bath,350978748,Church-Yonge Corridor,43.656417352808354,-79.37530281,Entire home/apt,138.0,1,47,2024-01-06,8.81,1,79,47,4.79
